group,subset,method_key,method,median_normalized_rf,median_bsd,mean_normalized_rf,mean_bsd
Amphibians,1,original,Proposed,0.125,0.278432724518227,0.13680555555555554,0.29233988203480893
Amphibians,1,at_root,Root Attach,0.8333333333333334,0.3482588168228712,0.8145833333333333,0.3510843589344002
Amphibians,1,nearest_leaf_parent,Nearest Parent,0.8333333333333334,0.3469166447652131,0.8159722222222222,0.3624703026036359
Amphibians,1,no_mcs,No MCS,0.8333333333333334,0.3482588174364243,0.8145833333333333,0.35108435385225345
Amphibians,1,supertree,Supertree-based,0.7916666666666666,0.3475626920295243,0.7833333333333332,0.3504626246661736
Amphibians,2,original,Proposed,0.18867924528301888,0.2701806064013895,0.20628930817610067,0.2719904201565089
Amphibians,2,at_root,Root Attach,0.8113207547169812,0.36367918607717703,0.8056603773584907,0.3532145037745798
Amphibians,2,nearest_leaf_parent,Nearest Parent,0.8301886792452831,0.36321734261331784,0.8144654088050314,0.34978379210875693
Amphibians,2,no_mcs,No MCS,0.7924528301886793,0.36788353696396714,0.7949685534591194,0.3557408583274251
Amphibians,2,supertree,Supertree-based,0.7358490566037735,0.3204238915286615,0.7490566037735849,0.32306531389106546
Amphibians,3,original,Proposed,0.2413793103448276,0.22970630093687955,0.2362068965517241,0.23229584285610957
Amphibians,3,at_root,Root Attach,0.8017241379310345,0.3468049394646362,0.8086206896551725,0.34131067570358964
Amphibians,3,nearest_leaf_parent,Nearest Parent,0.8103448275862069,0.42255442229069917,0.8109195402298851,0.4176288421880416
Amphibians,3,no_mcs,No MCS,0.8103448275862069,0.3456522201632029,0.8091954022988506,0.3423480235449194
Amphibians,3,supertree,Supertree-based,0.75,0.2586106008307273,0.7563218390804599,0.2600031038253922
Amphibians,4,original,Proposed,0.16666666666666666,0.2659457575865121,0.173015873015873,0.27172129896670505
Amphibians,4,at_root,Root Attach,0.8412698412698413,0.3805923631938902,0.8227513227513229,0.36913179530820256
Amphibians,4,nearest_leaf_parent,Nearest Parent,0.8492063492063492,0.4070472655676952,0.8370370370370371,0.3932773144411049
Amphibians,4,no_mcs,No MCS,0.8412698412698413,0.3855493600422924,0.8206349206349208,0.37075053230467186
Amphibians,4,supertree,Supertree-based,0.7777777777777778,0.31666676162008167,0.7624338624338626,0.31134133488059984
Amphibians,5,original,Proposed,0.27941176470588236,0.26562537258483687,0.2931372549019608,0.27076725189695733
Amphibians,5,at_root,Root Attach,0.8382352941176471,0.3527165700199029,0.828921568627451,0.3529938195276526
