group,subset,method_key,method,tree_idx,normalized_rf,bsd
Amphibians,1,nearest_leaf_parent,Nearest Parent,15,0.8958333333333334,0.3448837661602625
Amphibians,1,nearest_leaf_parent,Nearest Parent,16,0.9791666666666666,0.4062526391899165
Amphibians,1,nearest_leaf_parent,Nearest Parent,17,0.75,0.30834962036671854
Amphibians,1,nearest_leaf_parent,Nearest Parent,18,0.7916666666666666,0.3424551339363963
Amphibians,1,nearest_leaf_parent,Nearest Parent,19,0.8333333333333334,0.34237912108132396
Amphibians,1,nearest_leaf_parent,Nearest Parent,20,0.8125,0.22636658546388172
Amphibians,1,nearest_leaf_parent,Nearest Parent,21,0.6666666666666666,0.1739837523030017
Amphibians,1,nearest_leaf_parent,Nearest Parent,22,0.8333333333333334,0.509253627816071
Amphibians,1,nearest_leaf_parent,Nearest Parent,23,0.9166666666666666,0.4516640425097125
Amphibians,1,nearest_leaf_parent,Nearest Parent,24,0.7708333333333334,0.39365108899171436
Amphibians,1,nearest_leaf_parent,Nearest Parent,25,0.8541666666666666,0.3346641911617261
Amphibians,1,nearest_leaf_parent,Nearest Parent,26,0.8541666666666666,0.5164656914871227
Amphibians,1,nearest_leaf_parent,Nearest Parent,27,0.8333333333333334,0.37722303142061714
Amphibians,1,nearest_leaf_parent,Nearest Parent,28,0.7708333333333334,0.5079199536900262
Amphibians,1,nearest_leaf_parent,Nearest Parent,29,0.8333333333333334,0.4553310268945471
Amphibians,1,nearest_leaf_parent,Nearest Parent,30,0.7916666666666666,0.30402729417025093
Amphibians,1,no_mcs,No MCS,1,0.7291666666666666,0.2796605412601373
Amphibians,1,no_mcs,No MCS,2,0.7083333333333334,0.34825194030467777
Amphibians,1,no_mcs,No MCS,3,0.875,0.35010031836151256
Amphibians,1,no_mcs,No MCS,4,0.8541666666666666,0.3428724662303034
Amphibians,1,no_mcs,No MCS,5,0.7083333333333334,0.27382005414985905
Amphibians,1,no_mcs,No MCS,6,0.875,0.4634512013846071
Amphibians,1,no_mcs,No MCS,7,0.6041666666666666,0.3021040649078553
Amphibians,1,no_mcs,No MCS,8,0.7916666666666666,0.32004449471134067
Amphibians,1,no_mcs,No MCS,9,0.7708333333333334,0.32708888243923834
Amphibians,1,no_mcs,No MCS,10,0.875,0.352417960783663
Amphibians,1,no_mcs,No MCS,11,0.9583333333333334,0.38036159063880354
Amphibians,1,no_mcs,No MCS,12,0.8958333333333334,0.3752719006306064
Amphibians,1,no_mcs,No MCS,13,0.9375,0.3784721984044536
Amphibians,1,no_mcs,No MCS,14,0.6875,0.31204674969100665
Amphibians,1,no_mcs,No MCS,15,0.8958333333333334,0.3482656945681708
Amphibians,1,no_mcs,No MCS,16,0.9791666666666666,0.38634116612137914
Amphibians,1,no_mcs,No MCS,17,0.6875,0.30546768986692696
Amphibians,1,no_mcs,No MCS,18,0.7916666666666666,0.3176367990530938
Amphibians,1,no_mcs,No MCS,19,0.8333333333333334,0.35058881236936673
Amphibians,1,no_mcs,No MCS,20,0.8333333333333334,0.2801288404715619
Amphibians,1,no_mcs,No MCS,21,0.6875,0.22889019988994677
Amphibians,1,no_mcs,No MCS,22,0.8333333333333334,0.4331814375880012
Amphibians,1,no_mcs,No MCS,23,0.9166666666666666,0.39512847591338784
Amphibians,1,no_mcs,No MCS,24,0.7708333333333334,0.363801526586824
